user_id,property_id,timestamp,event_type,location_viewed,price_viewed
1,919,2025-12-01 22:27:32.907836,view,Business Bay,745300
1,771,2025-12-02 22:27:31.935927,view,Downtown Dubai,1661068
1,997,2025-12-02 22:27:37.598447,view,Marina,1334874
1,45,2025-12-03 22:27:33.564660,view,JVC,739968
1,516,2025-12-04 22:27:33.987977,view,Business Bay,1779180
1,701,2025-12-05 22:27:36.558079,view,Business Bay,1484156
1,425,2025-12-07 22:27:37.042084,view,Marina,625438
1,939,2025-12-09 22:27:34.817087,view,Downtown Dubai,983455
1,957,2025-12-10 22:27:33.172469,view,Business Bay,1243088
1,254,2025-12-10 22:27:36.229728,view,JVC,1701838
1,644,2025-12-13 22:27:35.069159,view,JVC,1176296
1,425,2025-12-14 22:27:37.835300,view,Marina,625438
1,382,2025-12-15 22:27:32.505472,view,Downtown Dubai,1371522
1,841,2025-12-16 22:27:37.294126,view,Marina,1968919
1,618,2025-12-21 22:27:37.503202,shortlist,Palm Jumeirah,1179447
1,686,2025-12-22 22:27:32.015066,view,Marina,624932
1,643,2025-12-22 22:27:33.407634,view,Downtown Dubai,1998339
1,451,2025-12-23 22:27:33.829898,view,Business Bay,1188152
1,615,2025-12-23 22:27:36.245845,view,JVC,1237954
1,267,2025-12-25 22:27:32.623747,shortlist,Palm Jumeirah,1872070
1,28,2025-12-25 22:27:35.897847,view,Marina,1416383
2,561,2025-11-28 22:27:35.226970,contact_agent,JVC,1167540
2,3,2025-11-30 22:27:36.384326,view,Downtown Dubai,1450162
2,439,2025-12-03 22:27:33.940169,view,Palm Jumeirah,717770
2,280,2025-12-03 22:27:36.416141,view,Downtown Dubai,970529
2,362,2025-12-04 22:27:34.253885,view,Marina,1286261
2,406,2025-12-08 22:27:34.769822,view,Marina,1643647
2,701,2025-12-11 22:27:33.002524,view,Business Bay,1484156
2,177,2025-12-12 22:27:36.810172,view,Business Bay,1255111
2,222,2025-12-13 22:27:33.202628,view,Business Bay,1249971
2,128,2025-12-15 22:27:34.411577,view,Palm Jumeirah,1015693
2,338,2025-12-17 22:27:32.432715,view,JVC,876794
2,425,2025-12-18 22:27:32.114998,view,Marina,625438
2,153,2025-12-18 22:27:34.082338,view,Marina,663834
2,618,2025-12-18 22:27:34.864304,view,Palm Jumeirah,1179447
2,895,2025-12-20 22:27:37.309782,view,Marina,797675
2,862,2025-12-21 22:27:32.586236,view,Business Bay,1037977
2,830,2025-12-21 22:27:37.199358,view,Business Bay,545475
2,977,2025-12-22 22:27:33.603549,view,Palm Jumeirah,1781506
2,16,2025-12-23 22:27:36.931724,view,Marina,1756715
2,902,2025-12-24 22:27:34.051015,view,Downtown Dubai,625355
2,510,2025-12-24 22:27:34.521303,view,Marina,1656083
3,658,2025-11-29 22:27:35.634416,view,Business Bay,642980
3,461,2025-12-03 22:27:34.177072,view,Palm Jumeirah,1886689
3,985,2025-12-05 22:27:35.728604,view,Marina,1552425
3,677,2025-12-08 22:27:36.901425,view,Downtown Dubai,1098506
3,728,2025-12-09 22:27:34.380201,view,Palm Jumeirah,1426215
3,634,2025-12-09 22:27:35.211244,view,JVC,529336
3,718,2025-12-11 22:27:31.806921,shortlist,Downtown Dubai,1849590
3,711,2025-12-14 22:27:36.308994,view,Marina,1607810
3,135,2025-12-14 22:27:36.621360,shortlist,JVC,965982
3,808,2025-12-17 22:27:32.426710,view,Palm Jumeirah,647745
3,294,2025-12-17 22:27:32.670306,view,Business Bay,1861303
3,855,2025-12-18 22:27:36.341364,view,JVC,1101891
3,765,2025-12-19 22:27:35.100507,view,Downtown Dubai,1594316
3,527,2025-12-21 22:27:33.344050,view,Downtown Dubai,1337393
3,488,2025-12-22 22:27:34.756469,shortlist,Downtown Dubai,1013313
3,791,2025-12-24 22:27:36.024976,view,Palm Jumeirah,725391
